import time: self [us] | cumulative | imported package
import time:     23548 |      23548 |                                 botocore.docs.bcdoc.style
import time:     25666 |      98434 |                               botocore.docs.bcdoc.restdoc
import time:     12005 |      12005 |                                   botocore.docs.shape
import time:     12814 |      12814 |                                   botocore.docs.utils
import time:     17106 |      41924 |                                 botocore.docs.example
import time:     17511 |      17511 |                                   botocore.docs.params
import time:     13750 |      31261 |                                 botocore.docs.method
import time:     16975 |      16975 |                                 botocore.docs.sharedexample
import time:     18626 |     108784 |                               botocore.docs.client
import time:     16460 |      16460 |                               botocore.docs.paginator
import time:     15681 |      15681 |                               botocore.docs.waiter
import time:     24747 |     264105 |                             botocore.docs.service
import time:     17326 |     281431 |                           botocore.docs
import time:     15026 |     296456 |                         botocore.docs.docstring
import time:     12825 |     442200 |                       botocore.waiter
import time:     11491 |      11491 |                           botocore.validate
import time:     11318 |      22809 |                         botocore.serialize
import time:     13641 |      13641 |                             botocore.history
import time:     11490 |      25130 |                           botocore.endpoint
import time:     12763 |      37892 |                         botocore.config
import time:     14032 |      14032 |                           botocore.crt
import time:     10309 |      10309 |                           botocore.endpoint_provider
import time:     10808 |      35148 |                         botocore.regions
import time:     11887 |      11887 |                           botocore.tokens
import time:     18809 |      30696 |                         botocore.signers
import time:     10569 |     137113 |                       botocore.args
import time:     10763 |      10763 |                       botocore.compress
import time:       258 |        258 |                           termios
import time:      1411 |       1669 |                         getpass
import time:      2446 |       2446 |                           configparser
import time:     11804 |      14249 |                         botocore.configloader
import time:     14455 |      30373 |                       botocore.credentials
import time:      7466 |       7466 |                       botocore.discovery
import time:      8261 |       8261 |                       botocore.paginate
import time:     13551 |      13551 |                       botocore.retries
import time:     17810 |      17810 |                         botocore.retries.bucket
import time:       535 |        535 |                               botocore.customizations
import time:       310 |        844 |                             botocore.customizations.retries
import time:     10806 |      11650 |                           botocore.configprovider
import time:     12513 |      12513 |                           botocore.retries.quota
import time:     16317 |      16317 |                             botocore.retries.base
import time:     16625 |      32942 |                           botocore.retries.special
import time:     16412 |      73514 |                         botocore.retries.standard
